#options: 960x720 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=crf mbtree=1 crf=18.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=83 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:71 out:72 type:b dur:2 cpbdur:2 q:29.40 aq:22.34 tex:3598 mv:1962 misc:1416 imb:43 pmb:249 smb:2408 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:28.14 aq:21.31 tex:61090 mv:11678 misc:2320 imb:584 pmb:1298 smb:818 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:28.41 aq:20.88 tex:6202 mv:3456 misc:2262 imb:98 pmb:560 smb:2042 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:28.67 aq:21.61 tex:4831 mv:2010 misc:1535 imb:35 pmb:322 smb:2343 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:28.65 aq:21.49 tex:5074 mv:2620 misc:1818 imb:57 pmb:388 smb:2255 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:28.30 aq:21.48 tex:61152 mv:11707 misc:2341 imb:611 pmb:1303 smb:786 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:28.63 aq:21.36 tex:6400 mv:4742 misc:2466 imb:81 pmb:760 smb:1859 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:28.87 aq:23.56 tex:4535 mv:2177 misc:1616 imb:39 pmb:331 smb:2330 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:28.85 aq:21.94 tex:4299 mv:1745 misc:1532 imb:37 pmb:284 smb:2379 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:27.18 aq:20.43 tex:54932 mv:9703 misc:2437 imb:545 pmb:1226 smb:929 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:28.37 aq:23.63 tex:12012 mv:8184 misc:2564 imb:118 pmb:1022 smb:1560 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:28.62 aq:22.82 tex:6209 mv:3665 misc:1998 imb:57 pmb:536 smb:2107 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:28.59 aq:22.54 tex:6962 mv:2922 misc:1852 imb:52 pmb:438 smb:2210 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:27.57 aq:21.18 tex:62068 mv:9908 misc:2320 imb:457 pmb:1298 smb:945 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:28.12 aq:22.73 tex:13463 mv:7506 misc:2703 imb:199 pmb:885 smb:1616 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:28.55 aq:22.71 tex:5254 mv:3081 misc:1977 imb:38 pmb:483 smb:2179 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:28.55 aq:21.29 tex:4998 mv:2045 misc:1717 imb:35 pmb:376 smb:2289 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:27.83 aq:21.30 tex:57802 mv:11809 misc:2285 imb:626 pmb:1326 smb:748 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:28.21 aq:20.65 tex:6150 mv:3563 misc:2295 imb:92 pmb:580 smb:2028 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:28.43 aq:21.67 tex:5279 mv:3539 misc:1974 imb:54 pmb:518 smb:2128 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:28.31 aq:20.95 tex:4917 mv:1222 misc:1549 imb:39 pmb:288 smb:2373 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:27.41 aq:20.58 tex:54370 mv:10439 misc:2311 imb:577 pmb:1306 smb:817 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:28.00 aq:21.75 tex:10833 mv:7618 misc:2685 imb:139 pmb:977 smb:1584 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:28.27 aq:21.15 tex:4874 mv:1717 misc:1625 imb:59 pmb:300 smb:2341 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:28.20 aq:20.96 tex:5770 mv:2030 misc:1864 imb:47 pmb:426 smb:2227 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:27.56 aq:20.86 tex:60338 mv:10955 misc:2331 imb:610 pmb:1231 smb:859 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:28.18 aq:21.62 tex:8777 mv:5627 misc:2452 imb:84 pmb:791 smb:1825 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:28.45 aq:21.31 tex:5097 mv:2931 misc:1956 imb:59 pmb:459 smb:2182 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:28.31 aq:22.12 tex:5638 mv:2499 misc:1839 imb:37 pmb:411 smb:2252 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:27.76 aq:20.93 tex:60641 mv:11971 misc:2212 imb:647 pmb:1357 smb:696 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:28.29 aq:22.61 tex:11536 mv:8829 misc:2643 imb:155 pmb:1084 smb:1461 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:28.43 aq:21.57 tex:4681 mv:1808 misc:1647 imb:42 pmb:323 smb:2335 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:28.42 aq:22.24 tex:5301 mv:3148 misc:1911 imb:34 pmb:478 smb:2188 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:27.53 aq:21.39 tex:57439 mv:10842 misc:2335 imb:528 pmb:1340 smb:832 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:28.29 aq:22.82 tex:9907 mv:7684 misc:2657 imb:82 pmb:1033 smb:1585 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:28.44 aq:23.07 tex:5251 mv:2552 misc:1685 imb:38 pmb:361 smb:2301 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:28.41 aq:22.78 tex:5211 mv:2715 misc:1978 imb:35 pmb:464 smb:2201 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:27.18 aq:20.15 tex:53421 mv:10801 misc:2338 imb:646 pmb:1209 smb:845 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:27.92 aq:23.15 tex:10258 mv:6106 misc:2572 imb:121 pmb:870 smb:1709 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:28.15 aq:21.08 tex:5033 mv:1873 misc:1854 imb:42 pmb:412 smb:2246 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:28.08 aq:20.66 tex:5448 mv:3126 misc:1930 imb:66 pmb:465 smb:2169 d:- ref:0 ;
